Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-01 00:00:00+05:30,18.691146850585938,18.97892189025879,18.540184020996094,18.823240280151367,11.965001106262207,43733533,0.0,0.0
1996-01-02 00:00:00+05:30,18.894004821777344,18.964767456054688,17.738191604614258,18.224105834960938,11.584162712097168,56167280,0.0,0.0
1996-01-03 00:00:00+05:30,18.327892303466797,18.56848907470703,17.64383888244629,17.738191604614258,11.275291442871094,68296318,0.0,0.0
1996-01-04 00:00:00+05:30,17.50231170654297,17.832542419433594,17.22397232055664,17.676862716674805,11.236306190490723,86073880,0.0,0.0
1996-01-05 00:00:00+05:30,17.738191604614258,17.78536605834961,17.45985221862793,17.57779312133789,11.173332214355469,76613039,0.0,0.0
1996-01-08 00:00:00+05:30,17.478723526000977,17.64383888244629,16.922046661376953,17.063573837280273,10.846470832824707,55395172,0.0,0.0
1996-01-09 00:00:00+05:30,16.889022827148438,18.681711196899414,16.705036163330078,17.99765968322754,11.44022274017334,82057540,0.0,0.0
1996-01-10 00:00:00+05:30,17.407958984375,17.714603424072266,17.05413818359375,17.17207908630371,10.915440559387207,54360749,0.0,0.0
1996-01-11 00:00:00+05:30,16.983375549316406,17.926895141601562,16.983375549316406,17.82782554626465,11.332265853881836,65973105,0.0,0.0
1996-01-12 00:00:00+05:30,17.879718780517578,18.233539581298828,17.573074340820312,17.837261199951172,11.338264465332031,102152486,0.0,0.0
1996-01-15 00:00:00+05:30,18.02124786376953,18.200517654418945,17.78536605834961,17.893871307373047,11.374244689941406,68169665,0.0,0.0
1996-01-16 00:00:00+05:30,17.90330696105957,19.530881881713867,17.78536605834961,18.27128028869629,11.614147186279297,92497161,0.0,0.0
1996-01-17 00:00:00+05:30,17.856130599975586,17.974071502685547,17.455135345458984,17.521181106567383,11.137348175048828,65477620,0.0,0.0
1996-01-18 00:00:00+05:30,17.31832504272461,17.624969482421875,17.124902725219727,17.403240203857422,11.06238079071045,67620657,0.0,0.0
1996-01-19 00:00:00+05:30,17.29001808166504,17.67214584350586,17.29001808166504,17.610815048217773,11.194323539733887,47652365,0.0,0.0
1996-01-22 00:00:00+05:30,17.738191604614258,18.313739776611328,17.700450897216797,18.224105834960938,11.584162712097168,81512772,0.0,0.0
1996-01-23 00:00:00+05:30,18.38922119140625,18.771347045898438,18.162776947021484,18.417526245117188,11.707109451293945,130297068,0.0,0.0
1996-01-24 00:00:00+05:30,17.832542419433594,17.926895141601562,17.351348876953125,17.794803619384766,11.311275482177734,54484752,0.0,0.0
1996-01-25 00:00:00+05:30,18.1156005859375,18.275997161865234,17.879718780517578,17.964635848999023,11.419230461120605,67701207,0.0,0.0
1996-01-26 00:00:00+05:30,17.964635848999023,17.964635848999023,17.964635848999023,17.964635848999023,11.419230461120605,0,0.0,0.0
1996-01-29 00:00:00+05:30,18.162776947021484,18.960050582885742,18.07314109802246,18.785499572753906,11.941015243530273,75689901,0.0,0.0
1996-01-30 00:00:00+05:30,19.059120178222656,19.700714111328125,18.587360382080078,19.205366134643555,12.207901000976562,89163372,0.0,0.0
1996-01-31 00:00:00+05:30,18.776063919067383,19.129884719848633,18.21466827392578,18.549619674682617,11.79107666015625,56831282,0.0,0.0
1996-02-01 00:00:00+05:30,18.422243118286133,19.625232696533203,18.422243118286133,19.46955108642578,12.375829696655273,96599349,0.0,0.0
1996-02-02 00:00:00+05:30,19.861112594604492,20.9461612701416,19.719585418701172,20.814069747924805,13.230475425720215,106010376,0.0,0.0
1996-02-05 00:00:00+05:30,21.087690353393555,22.880380630493164,21.087690353393555,22.12556266784668,14.064126014709473,160942920,0.0,0.0
1996-02-06 00:00:00+05:30,22.455795288085938,23.163436889648438,21.795330047607422,22.314266204833984,14.184074401855469,147345446,0.0,0.0
1996-02-07 00:00:00+05:30,21.597192764282227,22.36144256591797,20.757457733154297,21.922706604003906,13.9351806640625,67480756,0.0,0.0
1996-02-08 00:00:00+05:30,21.988752365112305,22.903968811035156,21.57832145690918,22.545429229736328,14.33101749420166,52796395,0.0,0.0
1996-02-09 00:00:00+05:30,22.762439727783203,24.460777282714844,22.352008819580078,24.13998031616211,15.34459114074707,74580228,0.0,0.0
1996-02-12 00:00:00+05:30,23.871076583862305,24.267356872558594,22.455795288085938,22.724699020385742,14.444964408874512,81608160,0.0,0.0
1996-02-13 00:00:00+05:30,22.668088912963867,23.10682487487793,22.031211853027344,22.84735679626465,14.522933006286621,83711982,0.0,0.0
1996-02-14 00:00:00+05:30,23.682373046875,24.04562759399414,23.399316787719727,23.517255783081055,14.948752403259277,52251098,0.0,0.0
1996-02-15 00:00:00+05:30,23.399316787719727,23.77672576904297,23.139848709106445,23.38044548034668,14.861794471740723,40662588,0.0,0.0
1996-02-16 00:00:00+05:30,23.205894470214844,23.253070831298828,22.677522659301758,22.83320426940918,14.513937950134277,41113559,0.0,0.0
1996-02-19 00:00:00+05:30,22.927555084228516,23.304964065551758,22.880380630493164,22.9888858795166,14.612896919250488,29196493,0.0,0.0
1996-02-20 00:00:00+05:30,23.021907806396484,23.0407772064209,22.08782196044922,22.271808624267578,14.157086372375488,30560533,0.0,0.0
1996-02-21 00:00:00+05:30,22.271808624267578,22.271808624267578,22.271808624267578,22.271808624267578,14.157086372375488,0,0.0,0.0
1996-02-22 00:00:00+05:30,22.682241439819336,22.970014572143555,22.550148010253906,22.889814376831055,14.549924850463867,21638101,0.0,0.0
1996-02-23 00:00:00+05:30,22.927555084228516,23.352140426635742,22.578453063964844,23.229482650756836,14.765833854675293,46653977,0.0,0.0
1996-02-26 00:00:00+05:30,23.77672576904297,24.3758602142334,23.691808700561523,23.847488403320312,15.158672332763672,71998409,0.0,0.0
1996-02-27 00:00:00+05:30,23.965429306030273,24.106956481933594,23.493667602539062,23.805030822753906,15.131678581237793,62652564,0.0,0.0
1996-02-28 00:00:00+05:30,24.154132843017578,24.342836380004883,23.78615951538086,23.833335876464844,15.149674415588379,36609684,0.0,0.0
1996-02-29 00:00:00+05:30,23.682373046875,23.77200698852539,22.36144256591797,22.672805786132812,14.411982536315918,71030227,0.0,0.0
1996-03-01 00:00:00+05:30,22.927555084228516,23.154001235961914,22.644500732421875,22.951143264770508,14.588902473449707,49598798,0.0,0.0
1996-03-04 00:00:00+05:30,23.021907806396484,23.111543655395508,22.172739028930664,22.719980239868164,14.441967010498047,40613835,0.0,0.0
1996-03-05 00:00:00+05:30,22.719980239868164,22.719980239868164,22.719980239868164,22.719980239868164,14.441967010498047,0,0.0,0.0
1996-03-06 00:00:00+05:30,22.748287200927734,23.10682487487793,22.691675186157227,22.993602752685547,14.615896224975586,22160082,0.0,0.0
1996-03-07 00:00:00+05:30,23.116260528564453,23.323835372924805,22.762439727783203,22.84735679626465,14.522933006286621,31303495,0.0,0.0
1996-03-08 00:00:00+05:30,22.64921760559082,22.734134674072266,22.276527404785156,22.63506507873535,14.387989044189453,39637704,0.0,0.0
1996-03-11 00:00:00+05:30,22.172739028930664,22.36144256591797,21.83778953552246,22.11612892150879,14.058125495910645,39109363,0.0,0.0
