Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-01 00:00:00+05:30,7.319124221801758,7.358397006988525,7.270925045013428,7.345901012420654,4.617048740386963,104121369,0.0,0.0
1996-01-02 00:00:00+05:30,7.328050136566162,7.363752841949463,7.235221862792969,7.28877592086792,4.581144332885742,168743308,0.0,0.0
1996-01-03 00:00:00+05:30,7.40838098526001,7.74577522277832,7.328050136566162,7.3441162109375,4.615926742553711,209323879,0.0,0.0
1996-01-04 00:00:00+05:30,7.2744951248168945,7.297701835632324,7.178096771240234,7.276279926300049,4.573289394378662,216900264,0.0,0.0
1996-01-05 00:00:00+05:30,7.24771785736084,7.24771785736084,7.163815975189209,7.2262959480285645,4.541874885559082,166708467,0.0,0.0
1996-01-08 00:00:00+05:30,7.212015151977539,7.21737003326416,6.865694999694824,6.937100887298584,4.360108852386475,186974245,0.0,0.0
1996-01-09 00:00:00+05:30,6.731809139251709,6.854983806610107,6.506879806518555,6.73716402053833,4.234444618225098,388766555,0.0,0.0
1996-01-10 00:00:00+05:30,6.605062961578369,6.763940811157227,6.533657073974609,6.564003944396973,4.125610828399658,276606655,0.0,0.0
1996-01-11 00:00:00+05:30,6.49795389175415,6.8014302253723145,6.489027976989746,6.769297122955322,4.254640579223633,409645726,0.0,0.0
1996-01-12 00:00:00+05:30,6.819281101226807,6.871050834655762,6.653262138366699,6.6978912353515625,4.209761619567871,374687924,0.0,0.0
1996-01-15 00:00:00+05:30,6.678254127502441,6.712172031402588,6.590782165527344,6.628270149230957,4.166003227233887,199981539,0.0,0.0
1996-01-16 00:00:00+05:30,6.605062961578369,6.676468849182129,6.583641052246094,6.640766143798828,4.173857688903809,217247573,0.0,0.0
1996-01-17 00:00:00+05:30,6.605062961578369,6.613988876342773,6.321224212646484,6.37656307220459,4.0077996253967285,299629901,0.0,0.0
1996-01-18 00:00:00+05:30,6.214115142822266,6.315867900848389,6.133782863616943,6.199832916259766,3.8967227935791016,377502810,0.0,0.0
1996-01-19 00:00:00+05:30,6.1141462326049805,6.190907955169678,6.0498809814453125,6.090939044952393,3.8282806873321533,324535340,0.0,0.0
1996-01-22 00:00:00+05:30,6.110576152801514,6.274809837341309,6.105219841003418,6.1944780349731445,3.8933568000793457,338613971,0.0,0.0
1996-01-23 00:00:00+05:30,6.21589994430542,6.242677211761475,5.605378150939941,5.932061195373535,3.728421449661255,354919302,0.0,0.0
1996-01-24 00:00:00+05:30,5.880290985107422,5.915994167327881,5.641080856323242,5.72855281829834,3.600512742996216,351185727,0.0,0.0
1996-01-25 00:00:00+05:30,5.716056823730469,5.741048812866211,5.453639984130859,5.487557888031006,3.4490418434143066,360855771,0.0,0.0
1996-01-26 00:00:00+05:30,5.487557888031006,5.487557888031006,5.487557888031006,5.487557888031006,3.4490418434143066,0,0.0,0.0
1996-01-29 00:00:00+05:30,5.462564945220947,5.971333980560303,5.428647994995117,5.9195637702941895,3.7205662727355957,652902286,0.0,0.0
1996-01-30 00:00:00+05:30,6.105219841003418,6.747875213623047,6.015963077545166,6.451539993286133,4.054924488067627,1061936020,0.0,0.0
1996-01-31 00:00:00+05:30,6.390844821929932,6.631840229034424,6.149848937988281,6.310513019561768,3.966285228729248,731560842,0.0,0.0
1996-02-01 00:00:00+05:30,6.248032093048096,6.605062961578369,6.2301812171936035,6.564003944396973,4.125610828399658,640422958,0.0,0.0
